"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/leeoniisrael/Desktop/insta-clone/.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 22
"/Users/leeoniisrael/Desktop/insta-clone/README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 4, 9
"/Users/leeoniisrael/Desktop/insta-clone/index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 3, 17
"/Users/leeoniisrael/Desktop/insta-clone/package-lock.json", "JSON", 0, 0, 6740, 0, 0, 0, 0, 1, 6741
"/Users/leeoniisrael/Desktop/insta-clone/package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 1, 37
"/Users/leeoniisrael/Desktop/insta-clone/src/App.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/leeoniisrael/Desktop/insta-clone/src/Layouts/PageLayout/PageLayout.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 4, 6, 45
"/Users/leeoniisrael/Desktop/insta-clone/src/assets/constants.jsx", "JavaScript JSX", 231, 0, 0, 0, 0, 0, 0, 7, 238
"/Users/leeoniisrael/Desktop/insta-clone/src/components/AuthForm/AuthForm.jsx", "JavaScript JSX", 37, 0, 0, 0, 0, 0, 1, 7, 45
"/Users/leeoniisrael/Desktop/insta-clone/src/components/AuthForm/GoogleAuth.jsx", "JavaScript JSX", 54, 0, 0, 0, 0, 0, 2, 5, 61
"/Users/leeoniisrael/Desktop/insta-clone/src/components/AuthForm/Login.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 0, 0, 2, 49
"/Users/leeoniisrael/Desktop/insta-clone/src/components/AuthForm/Signup.jsx", "JavaScript JSX", 72, 0, 0, 0, 0, 0, 0, 6, 78
"/Users/leeoniisrael/Desktop/insta-clone/src/components/Comment/Comment.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/leeoniisrael/Desktop/insta-clone/src/components/FeedPosts/FeedPost.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/leeoniisrael/Desktop/insta-clone/src/components/FeedPosts/FeedPosts.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/leeoniisrael/Desktop/insta-clone/src/components/FeedPosts/PostFooter.jsx", "JavaScript JSX", 65, 0, 0, 0, 0, 0, 0, 6, 71
"/Users/leeoniisrael/Desktop/insta-clone/src/components/FeedPosts/PostHeader.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/leeoniisrael/Desktop/insta-clone/src/components/Navbar/Navbar.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/leeoniisrael/Desktop/insta-clone/src/components/Profile/EditProfile.jsx", "JavaScript JSX", 112, 0, 0, 0, 0, 0, 1, 8, 121
"/Users/leeoniisrael/Desktop/insta-clone/src/components/Profile/ProfileHeader.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 0, 0, 4, 86
"/Users/leeoniisrael/Desktop/insta-clone/src/components/Profile/ProfilePost.jsx", "JavaScript JSX", 184, 0, 0, 0, 0, 0, 0, 9, 193
"/Users/leeoniisrael/Desktop/insta-clone/src/components/Profile/ProfilePosts.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/leeoniisrael/Desktop/insta-clone/src/components/Profile/ProfileTabs.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/leeoniisrael/Desktop/insta-clone/src/components/Sidebar/Sidebar.jsx", "JavaScript JSX", 113, 0, 0, 0, 0, 0, 1, 4, 118
"/Users/leeoniisrael/Desktop/insta-clone/src/components/SuggestedUsers/SuggestedHeader.jsx", "JavaScript JSX", 37, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/leeoniisrael/Desktop/insta-clone/src/components/SuggestedUsers/SuggestedUser.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/leeoniisrael/Desktop/insta-clone/src/components/SuggestedUsers/SuggestedUsers.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/leeoniisrael/Desktop/insta-clone/src/firebase/firebase.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"/Users/leeoniisrael/Desktop/insta-clone/src/hooks/useEditProfile.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 4, 31
"/Users/leeoniisrael/Desktop/insta-clone/src/hooks/useGetUserProfileByUsername.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 8, 44
"/Users/leeoniisrael/Desktop/insta-clone/src/hooks/useLogin.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 5, 37
"/Users/leeoniisrael/Desktop/insta-clone/src/hooks/useLogout.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"/Users/leeoniisrael/Desktop/insta-clone/src/hooks/usePreviewImg.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 6, 33
"/Users/leeoniisrael/Desktop/insta-clone/src/hooks/useShowToast.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 4, 23
"/Users/leeoniisrael/Desktop/insta-clone/src/hooks/useSignUpWithEmailAndPassword.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 5, 71
"/Users/leeoniisrael/Desktop/insta-clone/src/index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 3, 15
"/Users/leeoniisrael/Desktop/insta-clone/src/main.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 0, 1, 9, 40
"/Users/leeoniisrael/Desktop/insta-clone/src/pages/AuthPage/AuthPage.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 2, 4, 30
"/Users/leeoniisrael/Desktop/insta-clone/src/pages/HomePage/HomePage.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/leeoniisrael/Desktop/insta-clone/src/pages/ProfilePage/ProfilePage.jsx", "JavaScript JSX", 60, 0, 0, 0, 0, 0, 1, 7, 68
"/Users/leeoniisrael/Desktop/insta-clone/src/store/authStore.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/leeoniisrael/Desktop/insta-clone/src/store/userProfileStore.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 2, 9
"/Users/leeoniisrael/Desktop/insta-clone/vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1482, 284, 6776, 12, 14, 5, 16, 182, 8771
